date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:12	101904/101904	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-18e10%22	https://themewagon.github.io/kaiadmin-lite/tables/datatables.html	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/tables/datatables.html	(from )
22:17:12	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226717d337-239b%22	https://themewagon.github.io/robots.txt		(from )
22:17:13	13324/13324	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a5d5e-340c%22	https://themewagon.github.io/kaiadmin-lite/assets/js/plugin/webfont/webfont.min.js	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/js/plugin/webfont/webfont.min.js	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:13	232948/232948	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5d5e-38df4%22	https://themewagon.github.io/kaiadmin-lite/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/css/bootstrap.min.css	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:13	198674/198674	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5d5e-30812%22	https://themewagon.github.io/kaiadmin-lite/assets/css/plugins.min.css	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/css/plugins.min.css	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:13	213952/213952	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5d5e-343c0%22	https://themewagon.github.io/kaiadmin-lite/assets/css/kaiadmin.min.css	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/css/kaiadmin.min.css	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:13	8313/8313	---M-Z	200	added ('OK')	text/css	etag:W/%22668a5d5e-2079%22	https://themewagon.github.io/kaiadmin-lite/assets/css/demo.css	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/css/demo.css	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:14	56157/56157	---M-Z	200	added ('OK')	text/html	etag:W/%22668a5d5e-db5d%22	https://themewagon.github.io/kaiadmin-lite/tables/tables.html	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/tables/tables.html	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:14	3072/3072	---M--	200	added ('OK')	image/jpeg	etag:%22668a5d5e-c00%22	https://themewagon.github.io/kaiadmin-lite/assets/img/jm_denis.jpg	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/img/jm_denis.jpg	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:14	3849/3849	---M--	200	added ('OK')	image/jpeg	etag:%22668a5d5e-f09%22	https://themewagon.github.io/kaiadmin-lite/assets/img/chadengle.jpg	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/img/chadengle.jpg	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
